id,lat,lng,name,surrounding,district,township,x,y,tradenum
2396,31.222699504199785,120.61992305387302,南石湖花园,科教文化服务,吴中区,城南街道,-27.178843,-8.89108,14425.0
2397,31.224676637922364,120.62180004812387,越湖家天下,科教文化服务,吴中区,城南街道,41.084545,6.9717455,106199.0
2399,31.223752836594052,120.60183691907044,石湖华城公交站,科教文化服务,吴中区,越溪街道,31.156261,18.287909,112294.0
2401,31.198356824274963,120.58659848927216,文溪花苑,政府机构及社会团体,吴中区,越溪街道,43.928604,6.430296,70646.0
2404,31.20618072977802,120.58672952522714,越溪庭院,商务住宅,吴中区,越溪街道,-1.3666563,15.008399,41514.0
2405,31.217611683088702,120.62331799872442,新城金郡南门,科教文化服务,吴中区,城南街道,-17.643772,-1.639994,46405.0
2408,31.252973169999642,120.63042594963088,石湖路轨交,商务住宅,吴中区,城南街道,30.298,23.908941,279595.0
2421,31.24507570425261,120.68960707355568,尹山湖一期广场,商务住宅,吴中区,郭巷街道,-9.86037,-28.70303,44448.0
2422,31.23692886855444,120.6736401915666,尹东安置区改,公司企业,吴中区,郭巷街道,4.487691,-2.026891,18466.0
2423,31.278614388839607,120.67850803039364,星岛仁恒,商务住宅,吴中区,郭巷街道,-31.563837,2.4421556,20838.0
2424,31.27569931341711,120.67750001189914,湖岸名家,商务住宅,吴中区,郭巷街道,22.511168,3.695949,106037.0
2425,31.268380161639858,120.6753009676668,独墅湖社区,商务住宅,吴中区,郭巷街道,-27.759373,4.229435,39951.0
2426,31.253619576022825,120.68681705012636,尹山湖商业广场,科教文化服务,吴中区,郭巷街道,29.958769,-13.480311,72538.0
2427,31.264582980745722,120.6889149821303,南环桥批发市场,地名地址信息,吴中区,郭巷街道,-8.937619,32.093864,68337.0
2428,31.254471218748694,120.68218305460287,国泰新村改,科教文化服务,吴中区,郭巷街道,-21.75978,5.4146013,27932.0
2429,31.23471528240866,120.6971509637251,越湖世家,地名地址信息,吴中区,郭巷街道,19.08804,-15.400009,40724.0
2430,31.24818730428576,120.68467409501551,邀湖路南,商务住宅,吴中区,郭巷街道,13.842799,-6.5772285,65697.0
2432,31.23202157833491,120.71061389036952,尹东三期西门改,地名地址信息,吴中区,郭巷街道,-12.562591,21.531614,38480.0
2433,31.240131688704746,120.70869399084272,尹东五村1区,地名地址信息,吴中区,郭巷街道,54.91287,4.8306227,78669.0
2434,31.237623612511612,120.71068998067551,尹东五村2区,地名地址信息,吴中区,郭巷街道,-34.479786,2.0829892,24088.0
2435,31.23259847642105,120.68826613142859,交通技校,科教文化服务,吴中区,郭巷街道,7.470004,-21.744942,29733.0
2436,31.21662043136505,120.66614938636029,同达公寓改,公司企业,吴中区,郭巷街道,-40.774544,-14.638191,5276.0
2437,31.247971389947,120.6966020091383,尹山湖路南,商务住宅,吴中区,郭巷街道,-9.595248,-9.128825,40353.0
2438,31.248587031637417,120.68041409796601,尹山湖医院,商务住宅,吴中区,郭巷街道,-19.359032,-34.079712,21757.0
2439,31.26496622605473,120.67921999642776,万业湖墅经典,商务住宅,吴中区,郭巷街道,-2.1082346,26.677822,54361.0
2440,31.263405239396327,120.65615455882894,麦德龙吴中店,政府机构及社会团体,吴中区,郭巷街道,-21.210999,16.614374,26013.0
2441,31.26416583459146,120.66076765893172,好得家装饰城,购物服务,吴中区,郭巷街道,-23.709253,13.044852,26442.0
2443,31.26597712308441,120.67466395696064,塘南新村南区,商务住宅,吴中区,郭巷街道,-0.7516999,20.175137,46856.0
2444,31.273229255262777,120.67666999565165,塘南新村北区,商务住宅,吴中区,郭巷街道,21.123735,-4.4316397,57854.0
2445,31.28285941678855,120.67819006520872,湖滨花园,商务住宅,吴中区,郭巷街道,18.237673,21.330305,94850.0
